Response,Review,Rating,Context,Region,State,
Brahmapur,"unaware beautiful place odisha maintained clean beautiful monastry welcomes warmth guest house stay overnight u want food simple best visited
temple usually considered important temples shiva ganjam temple crowded people gopalpur beach commercialized natural non plastic beautiful beach stay fishermen huts enjoy watching
grameswara temple kms away heart berhampur oldest temple city
biranch narayan sun temple hindu tample located town buguda ganjam odisha temple resovated king shikara bhanja deva god icon temple wood rood
dhabaleswar temple situated near kms berhampur shore bay bengal place devotees gather offer pooja lord shiva
blue waters soothing eyes soft sands trickling feet sun rays kissing cheeks feels amazing right exactly feel like hypnotic beach spot enjoy vacation spellbinding seashore family
place really good nature lovers know nature human turned place picnic spot make real dirty
berhampur iskcon situated outskirts berhampur place religious importance place visit
nice colorful temple maa kali hindu goddesses old temple near berhampuer city college school students place picnic temple greenery river mountain enjoy
best site south odisha near berhampue odisha ichapuram andhra pradesh beach revar st cross rhe reaver beach
peaceful place earth enjoy nature peacefully temple looking beautiful enjoy chala ghola dahi cheapest prices
famous best places picnic celebrations place waterfalls
ujjalaswartemple situated nearly km diga pahandi temple devoted lord shiva know ishtadevata reaching ujjaleswar temple come plasing surrounding ghodahada dam reserviir provides silence heard elephants pythons",4.153846154,"Brahmapur, located in the Ganjam district of Odisha, India, offers a diverse range of attractions for travelers. From its historical landmarks to religious sites and adventure sports activities, the city promises an enriching experience. Religious enthusiasts can explore the iconic Maa Taratarini Temple, situated atop a hill offering panoramic views of the surrounding landscape, and seek blessings at the revered Budhakhol Temple, dedicated to Lord Buddha. For adventure seekers, Brahmapur provides opportunities for thrilling water sports activities such as surfing and jet skiing at the nearby Gopalpur Beach, renowned for its golden sands and azure waters. Additionally, the Rushikulya Turtle Sanctuary, located close to Brahmapur, offers a unique chance to witness the annual mass nesting of Olive Ridley sea turtles, a spectacle that draws nature lovers from around the world. With its blend of spirituality, adventure, and natural wonders, Brahmapur invites travelers to embark on a journey of discovery and exploration.",East,Odisha,
Budhauli,visited hardev ji temple visits kanpur located place called govardhan old temple,3,"Budhauli, nestled in the picturesque landscapes of India's Uttar Pradesh, offers a blend of cultural heritage, spiritual sanctuaries, and thrilling adventures. Visitors can explore the town's religious sites, including the revered Budhauli Temple, dedicated to Lord Shiva, where pilgrims seek blessings amidst serene surroundings. For those seeking spiritual solace, the ancient Kali Mandir stands as a testament to devotion and reverence. Adventurers can partake in adrenaline-pumping activities such as zip-lining and rappelling at the nearby Adventure Park, or embark on exhilarating jungle treks and wildlife safaris in the lush forests of Dudhwa National Park. Whether it's exploring sacred shrines, indulging in thrilling escapades, or immersing in the tranquility of nature, Budhauli offers a diverse array of experiences to captivate the hearts of travelers.",North,Uttar Pradesh,
Budaun,enjoyed lot river rafting really horrible helpful trainer service little costly,4,"Budaun, a city steeped in history and spirituality in Uttar Pradesh, India, offers a rich tapestry of attractions for travelers. The ancient Choti Lalpur Temple, dedicated to Lord Shiva, stands as a testament to the city's religious heritage, while the majestic Jama Masjid showcases exquisite Mughal architecture. Pilgrims flock to the revered Peer Saiyyad Mahmood Shah Dargah, seeking solace and blessings. For adventure enthusiasts, the Sot River beckons with thrilling opportunities for river rafting and kayaking, while the tranquil surroundings of Patli Dam provide a serene setting for boating and picnics. The Gomti River Ghat offers scenic views and peaceful ambiance, perfect for quiet contemplation. History buffs can explore the remnants of Badaun Fort, while Gurudwara Charan Kamal invites devotees to connect with their spiritual roots. With its blend of historical landmarks, religious sites, and natural beauty, Budaun promises a memorable and enriching experience for all who visit.",North,Uttar Pradesh,
Buldana,"really nice stretch forest buldhana khamgaon road saw animals like deer scenery really good
mountain temple good structure corner mountain best time visit morning evening sunset looking good place
shri gajanan maharaj mandir shegaon best temples visit world place clean spiritual energy
dam nice visit friends rainy season mountains sahyadri best trip
lonar craker nd world place royal mandir best place
visited ganjanan maharaj mandir holy place maintained people sansthan disciplined hello good holy beautiful religious place shegaon famous gajanan maharaj anand sagar special type kachori",4.833333333,"Buldana, situated in Maharashtra, India, is a multifaceted destination offering a blend of cultural, spiritual, and adventurous experiences. The town is renowned for its religious significance, with notable attractions like the Shri Gajanan Maharaj Temple in Shegaon, drawing devotees from far and wide to pay homage. Adventure enthusiasts can indulge in thrilling activities at the Shivkalin Adventure Park, featuring zip-lining, rope courses, and more, amidst scenic surroundings. For those seeking spiritual solace, the historic Jain temples at Lonar offer a tranquil retreat, while the iconic Sant Damaji Maharaj Temple in Chikhli stands as a testament to faith and devotion. Buldana also boasts natural wonders like the Lonar Crater Lake, a UNESCO World Heritage Site, offering opportunities for sightseeing, birdwatching, and serene boat rides. With its diverse array of attractions encompassing religious landmarks, adventure sports activities, and natural marvels, Buldana promises a memorable and fulfilling experience for travelers of all interests.",West,Maharashtra,
Bulandshahr,newly mall shopping mall shops shops garments like stuff thier multiplex run suncity cinemas food court like average stuff u,4,"Bulandshahr, located in the state of Uttar Pradesh, India, offers a blend of religious heritage, historical significance, and opportunities for adventure. Among its notable attractions is the Dargah of Hazrat Shah Wilayat, a revered Sufi shrine attracting devotees seeking blessings and solace. The ancient ruins of the Gulaothi Fort provide a glimpse into the region's historical past. For those inclined towards spirituality, the Ganga Temple and the Kaila Devi Temple offer sanctuaries for worship and reflection. Adventure enthusiasts can indulge in thrilling activities such as hot air ballooning, paragliding, and camping at the nearby adventure parks and scenic spots, including the Chola adventure park and Garhmukteshwar. With its rich religious heritage and adrenaline-pumping activities, Bulandshahr promises a memorable and diverse experience for travelers seeking both spiritual enlightenment and outdoor adventure.",North,Uttar Pradesh,
Bundi,"fascinating half days trip banks rewa river shelters stretch kms longest discovered op sharma aka kukki knows
artist great talent generosity humility rare humanity happy hazards life allowed make friend
green hot midday cool green clean free enter possible walk bundi old town
palace constructed taragarh fort walls covered exquisite paintings murals interesting depict influence chinese culture palace located steep hill offers panoramic breathtaking view
went bijasan mata temple crowd temple decorated light flowers
location welcomes entering town bundi railway station composite ticket chhatri rani ji ki baori sukh mahal rs indian rs indian student valid
finest murals india truly staggeringly executed paintings gave rise bundi style miniatures wall decor sure guide tip rupees beautiful rooms easily
reminded inverted mexican pyramid beautiful great photography worth stop
expensive rupees money reinvested sad beautiful representation beautiful past architecture falling ruin
chhatra mahal smaller palace higher hill main palace covered entrance ticket approach main palace elephant gate turn right palace delightful hanging garden room open public
temple dhooleshwar mahadev nearby talwas famous temple city nice place
spent days bundi stay come geet art gallery geet father nice welcoming shop incredible old rare pieces
separate monument garh palace bundi hathi means elephant pol hollow rajasthani hindi means door huge wall entry gate garh palace like doors palaces forts door metal
bit dirty people washing quite nice walk round lake lovely main road
artists good artwork historical place people come visit
nawal sagar lake offers beautiful views sunset half submerged temple looming fort horizon famous hotel bundi haveli nearby photographer delight
nice temple located bank river historical temple good architecture good location
sat lake watched turtle green water struggling lake far polluted bottles rubbish nasty objects floating lake honestly think
sunil nice person beautiful objects years like mogal culture really honest scam visit brother shop upper
famous place bundi evening time people came visit view beautiful planned architecture
small umbrella shaped structure close fort view point road nawal sagar lake rani ji ki baori point famous giving total bird eye view bundi better view taragarh fort access
decorated architectural elements niches torana arches welcoming gates decorated brackets elephants beautiful flower scenes everyday life carving pillars walls rich architecture example
merely km away bundi best time visit place july january place feel nature monsoon nearby hills covered lavish greenery visit friends khike
good place family lots animal family enjoyed place
took jeep trip owner haveli katkoun enjoyable trip away city clearly undergoing severe environmental degradation diesel engines pump groundwater grow crops lakes reduced
generally enjoyed visiting stepwells garbage sad depressing view
place beautiful grand historical value place mugal era time place totally depends things enjoyed
loved little shop curiosities antiques manish patron super friendly helped ship things bought stayed touch whatsapp help ensure okay check
palace better described non existent lake lotuses calmness serenity place definitely make worth visit
quite walk uphill worth effort pleasure visit palaces restored atmospheric imposing situation best crowds jaipur udaipur agra wonderful
located near ramgarh sanctuary natural waterfall enjoy party friends family best picnic spot",4.193548387,"Bundi, a hidden gem in the royal state of Rajasthan, India, offers a captivating blend of historical grandeur, spiritual sanctuaries, and thrilling adventures. Adorned with magnificent palaces, stepwells, and forts, including the iconic Taragarh Fort and the intricately carved Raniji ki Baori stepwell, Bundi mesmerizes visitors with its architectural splendor and ancient charm. The town is also steeped in spirituality, boasting revered religious sites like the ancient Keshav Rai Temple, the intricately decorated Chitrashala, and the sacred Bijolia Temple, each offering a glimpse into the region's rich cultural heritage. For those seeking adrenaline-pumping experiences, Bundi's rugged terrain and scenic landscapes provide the perfect backdrop for adventure sports such as rock climbing, trekking, and zip-lining, with the majestic Garh Palace and lush surroundings serving as breathtaking settings for these thrilling activities. With its wealth of historical treasures, spiritual landmarks, and adrenaline-fueled adventures, Bundi promises a truly unforgettable experience for travelers seeking to explore the vibrant tapestry of Rajasthan.",West,Rajasthan,
Burhanpur,"fort spread area acres constructed highest point gives bird eye view surroundings mosque shiv mandir gallops remains windmill lakes
place magic clean great place visit men long pants women cover hair scarf wear loose pants long skirt cover arms
black taj famous burhanpur taj agra burhanpur similar taj awsome place visit
masjid built mugals getting specific stone state gives jet black colour pillars aligned precision absolutely straight said built high tech tools
years old water collection distribution built irani technology water collected distributed external help
history mahal easily internet need yeah visit asirgarh visit place easily locate asirgarh grounds
place average watch cleanliness neat tidy place attract visitor",3.714285714,"Burhanpur, a city steeped in history and spirituality, boasts a blend of captivating tourist attractions, revered religious sites, and opportunities for adventure sports activities. Burhanpur is a historical city in the Indian state of Madhya Pradesh. History buffs can explore the majestic Mughal-era monuments such as the Shahi Qila (Royal Fort), which houses the iconic Hammam or Turkish Bath, and the picturesque Ahukhana or Black Taj, a mausoleum built by Emperor Shah Jahan for his beloved queen. Religious pilgrims can visit the revered Dargah-e-Hakimi, a prominent Sufi shrine, and the tranquil Asirgarh Fort, which houses the revered tomb of Sage Asirgarh. For adventure enthusiasts, Burhanpur offers adrenaline-pumping activities like paragliding and hot air ballooning, providing panoramic views of the city's architectural splendor and natural beauty. Whether delving into its rich history, seeking spiritual solace, or indulging in thrilling adventures, Burhanpur promises a diverse and unforgettable experience for travelers.",Central,Madhya Pradesh,
Burdwan,"surprised review temple footfall temple high remains open till afternoon bhog distributed devotees tickets purchased office
great village outskirts burdwan went early morning taste experience date jaggery spent day lunch guest house wonderful experience
bijoy toron maintained decorated joy witness property bmc decorated opposite wall toron night lighting looks good",4.666666667,"Burdwan, situated in West Bengal, India, is a multifaceted destination blending cultural heritage, spiritual sanctuaries, and adventurous escapades. Religious enthusiasts flock to the iconic temples like the 108 Shiva temples at Siddheswari temple complex, the historical Deer Park associated with Lord Buddha's teachings, and the revered Shakti Peetha of Nalhateshwari Temple. For a serene retreat, the tranquil atmosphere of the Ramana Beach or the lush greenery of Curzon Park provides an ideal setting. Adventure seekers can partake in thrilling activities like hot air ballooning at the Burdwan University Ground or paragliding at the nearby Sonajhuri Forest, offering an adrenaline rush amidst scenic vistas. Whether delving into spirituality, exploring historical landmarks, or indulging in heart-pounding adventures, Burdwan promises a diverse and enriching experience for all.",East,West Bengal,
Burwa,maharshi vedavyas temple located burwa rohtang la small hot water spring inside temple believers beleives river beas starting actual starting point beas river different visitors placing small rocks,3,"Burwa, a picturesque village nestled amidst the breathtaking landscapes of Himachal Pradesh, offers a unique blend of tranquility, spirituality, and adventure. At the heart of the village lies the Burwa Mahadev Temple, an ancient and revered shrine dedicated to Lord Shiva, drawing pilgrims and devotees seeking divine blessings in the serene ambiance of the Himalayas. Surrounding the village, lush green hills and pristine forests provide a perfect setting for trekking and hiking enthusiasts, with trails offering mesmerizing views of the majestic peaks and valleys. Additionally, the gushing rivers and streams offer opportunities for thrilling water sports such as river rafting and kayaking, providing adrenaline-pumping experiences amidst the natural beauty of the region. Whether one seeks spiritual enlightenment, outdoor adventures, or simply a peaceful retreat in nature's embrace, Burwa in Himachal Pradesh promises an unforgettable journey filled with diverse experiences and soul-stirring moments.",North,Himachal Pradesh,
Buxar,"great place sit relax really awesome nice place shows country beauty seen
buxar fort good explore definately loved place love come explore
labour love individual memory state museum named relics dating millennia conserved
ground historic place bad shape british decisively defeated indian army raised victory tower intriguingly place stand new tower embellished mosaic tiles tiles falling",3.75,"Buxar, situated in the Indian state of Bihar, is a multifaceted destination offering a blend of historical landmarks, religious sanctuaries, and opportunities for adventure enthusiasts. History buffs can explore the iconic Buxar Fort, which bears witness to the region's rich past and offers panoramic views of the Ganges River. For spiritual seekers, Buxar boasts revered religious sites such as the Buxar Vishwanath Temple, dedicated to Lord Shiva, and the nearby Chausa Hoardanpur Mosque, known for its architectural grandeur and historical significance. Adventure sports enthusiasts can indulge in thrilling activities like white-water rafting and kayaking along the mighty Ganges River, with local operators offering guided excursions for both beginners and experienced adventurers. With its diverse array of attractions catering to history aficionados, religious pilgrims, and adrenaline junkies alike, Buxar promises a memorable and dynamic experience for travelers seeking exploration and adventure in the heart of Bihar.",East,Bihar,
Byndoor,"witnessed great sunset life great clouds kids near village exercising running beach extremely clean beautiful backdrop western ghats small
want buy handicraft items paintings better visit art gallery sundays
authentic place u clean body mind home indian food professional ayurvedic doctor tanmai gosvami",4.333333333,"Byndoor, a picturesque coastal town in Karnataka, India, beckons travelers with its blend of spiritual sanctity and natural beauty. Pilgrims flock to the revered Kollur Mookambika Temple and the ancient Sri Ramachandra Temple, seeking divine blessings amidst architectural splendor. Meanwhile, the tranquil Byndoor Beach offers serene vistas of the Arabian Sea, ideal for leisurely strolls and adventurous water sports like snorkeling and kayaking. Nearby, the Seneshwara Temple stands as a tranquil sanctuary on the banks of the River Seetha. For those seeking a retreat, Turtle Bay Beach Resort provides luxurious accommodations with stunning coastal views. Nature enthusiasts can explore the verdant trails of Kshitija Nesara Dhama, an eco-tourism park offering a peaceful oasis amidst lush greenery. With its harmonious blend of cultural heritage and natural wonders, Byndoor promises travelers an unforgettable journey of discovery and serenity. For those craving excitement, Byndoor boasts a range of adventure sports activities, including snorkeling, scuba diving, and kayaking along its breathtaking beaches and coral reefs.",South,Karnataka,
Canning,"sundarban spans india total area bangladesh total area unique creation mother nature sundarban world largest mangrove forest world heritage sight took night
helpful tour economic budget highly recommended persons conducting tour helpful",4.5,"Canning, nestled in the South 24 Parganas district of West Bengal, India, offers a blend of cultural heritage, spiritual sanctuaries, and adventurous escapades. The town boasts several tourist attractions, including the historic Canning Rajbari Palace, which showcases the architectural grandeur of the bygone era. Religious pilgrims flock to the revered Jhau Boner Math, an ancient Hindu monastery renowned for its spiritual significance and serene surroundings. For nature enthusiasts, the nearby Sajnekhali Wildlife Sanctuary beckons with its diverse flora and fauna, offering opportunities for birdwatching, jungle safaris, and eco-tourism experiences. Adventure seekers can indulge in thrilling water sports activities at the nearby Henry's Island, known for its pristine beaches and adrenaline-pumping adventures such as jet skiing, banana boat rides, and parasailing. Whether exploring the town's rich history, seeking spiritual solace, or embarking on thrilling adventures, Canning promises a multifaceted experience for travelers eager to explore the wonders of West Bengal.",East,West Bengal,
Chaibasa,"visited similar places avoided places difficult reach time consuming
best place worship chaibasa place hindu muslims bhai come worship
city centre park attraction town kids beautiful flowers swings attracts lot children
good place enjoy family outings evenings multiple installations garden
visited places avoided quite similar places difficult reach",3.6,"Chaibasa, nestled in the heart of Jharkhand, India, presents a captivating array of attractions catering to diverse interests. The town's spiritual landscape is adorned by the ancient Chhinnamasta Temple, where devotees seek solace and blessings amidst its sacred ambiance. For adventurers, the rugged terrain of the nearby Dalma Wildlife Sanctuary offers thrilling opportunities for trekking and camping, while wildlife safaris unveil the sanctuary's rich biodiversity. Adrenaline enthusiasts can further indulge in rock climbing and rappelling amidst the rocky cliffs surrounding Chaibasa, while nature lovers can bask in the beauty of the Panchghagh Falls and Chakradhara Waterfalls. Barura Sharif stands as a serene retreat for devotees, offering moments of reflection and spiritual fulfillment. As the sun sets, Sunset Point provides a picturesque backdrop for tranquility and photography. With its blend of religious fervor, adventurous escapades, and natural splendor, Chaibasa promises an unforgettable journey for travelers seeking exploration and discovery in Jharkhand's enchanting landscapes.",East,Jharkhand,
Chakrata,"hilltop area provide degree views mountain ranges peaceful time visit recommended
good place great spare time visit special hard reach way good
deoban km chakrata cantonment km road rough kaccha road journey scenic ends lovely meadow place serene offers best star grazing experience
fall located km chakrata market parking walk hour car need walk minutes reach falls couple restaurants near
hosts advised wanted explore totally disappointed bu site
visited moila june booked cab dehradun destination km dehradun started family including parents children couple secenic beauty way reached chakrata",3.833333333,"Chakrata, a serene hill station nestled in the Uttarakhand region of India, offers a blend of natural beauty, spiritual sanctuaries, and thrilling adventures. Nature enthusiasts can explore the breathtaking Tiger Falls, cascading from a height of 50 meters amidst lush greenery, or embark on treks through the enchanting Deoban forests, home to diverse flora and fauna. Religious pilgrims find solace at the ancient Hanuman Temple atop Chilmiri Neck, offering panoramic views of the Himalayan peaks and surrounding valleys, while the Kanasar Devi Temple, nestled amidst oak and rhododendron forests, beckons with its tranquil ambiance and spiritual significance. Adventure seekers can indulge in adrenaline-pumping activities like rappelling, rock climbing, and river rafting in the nearby rivers of Yamuna and Tons. Chakrata, with its blend of natural wonders, religious sites, and thrilling adventures, promises an unforgettable experience for travelers seeking both spiritual renewal and exhilarating escapades amidst the majestic Himalayas.",North,Uttarakhand,
Chalakudy,"good place visit silverstorm hygenic good water nice rides allover adipolli
happy place finding search engine welcome owner pleased tell animals antiquities animals looked happy cared
walk journey lord life half hour place captured number milestone events bible especially jesus life interesting maze format fashion
park costs adult worth shows plentiful atmosphere wholesome staff extremely helpful enjoyed dramas beauty park scriptorium great job
maintained atmosphere day trip better certain areas need scope improvement definitely add dry rides water rides youngsters great activities park food okay need
amazing place fun friends family family man enjoyed place good service
divine feeling pray evening church built th century renewed arosary village place visit pray
beautiful garden reservoir hanging bridge perfect clicking pictures fun bridge loved hours spent mins drive chalakudy way athirapally falls ample parking available
important naga temple kerala deity lord vasuki devotees visit pray offerings days year entry inside mana limited specific days year
sculptures mysteries rosary divinely experience spend understand pray mysteries rosary",4.7,"Chalakudy, situated in the Thrissur district of Kerala, India, is a treasure trove of tourist attractions, religious landmarks, and thrilling adventure sports activities. Nature enthusiasts can explore the majestic Athirappilly and Vazhachal waterfalls, known for their breathtaking beauty and lush surroundings. For those seeking spiritual solace, Chalakudy is home to the divine presence of Vadakumnathan Temple, one of the oldest and most revered Shiva temples in Kerala, along with the tranquil allure of the Our Lady of Dolours Basilica. Adventure seekers can partake in exhilarating activities such as river rafting on the Chalakudy River, trekking through the pristine Athirappilly forests, and wildlife safaris in the nearby Athirappilly Wildlife Sanctuary, known for its diverse flora and fauna. Whether it's marveling at natural wonders, seeking blessings at sacred sites, or indulging in adrenaline-pumping adventures, Chalakudy offers a perfect blend of experiences for every traveler.",South,Kerala,
Chamarajanagar,"gagana chukki barra chukki different spots confused lot people impression
place approx kms mysore kind commercial hill station tourist sport place pilgrimage located centre reserve forest mid sized ranganatha temple
temple situated atop br hills br hills surrounded forest place serene offers beautiful scenery forest hill range temple premises government buses available bangalore mysore
visited place way beach ooty transportation facility provided government needs worked help hilly area rates cheap rs head
beautiful monastery folk speaking hindi tibetan monasteries cross border pollution exists people used live natural ice live pleasant pheasant mountains visitors monasteries strong good visit
nice place visit meditation opportunity view alawars statue sri raamanuja chariyaa swamy installed lord venkateshwaraa idols goddess sri lakshmi amma beautiful view southern tip karnataka hari hae om
let tell jain tirth acharya shri went salvation vihar samvasharan bhagwan mahaveer swami took plac small village situated km mysore rock hill
temple lord varadharaja swamy fantastic piece old history case frequented lack exposure social regular media folks kanakapura highway nh nh
friends bangalore weekend bike ride kms good place proper roads wheelers wheelers weekend getaway ideal waterfall expect enjoy getting water visitors allowed",4.333333333,"Chamarajanagar, nestled in the southern part of Karnataka, India, offers a diverse range of attractions for travelers seeking spiritual solace, cultural exploration, and thrilling adventures. The district is renowned for its religious significance, with revered temples such as the Chamarajeshwara Temple in Chamarajanagar town and the Himavad Gopalaswamy Betta Temple atop the highest peak in the region. Additionally, the Biligiriranga Hills, or BR Hills, provide a serene backdrop for nature enthusiasts and offer opportunities for wildlife safaris, trekking, and birdwatching amidst lush forests and scenic vistas. Adventure seekers can also indulge in activities like river rafting on the Kaveri River, which flows through the district, or explore the enchanting caves of Muthathi. With its blend of spirituality, natural beauty, and adrenaline-pumping activities, Chamarajanagar promises an unforgettable journey for travelers seeking diverse experiences in the heart of Karnataka.",South,Karnataka,
Chamba,"went bhalei mata temple bhalei mata temple situated feet high place called bhalei sub tehsil headquarter temple km away chamba km away dalhousie deity bhadar kali
palace temple lord krishnasignifies fondness player flute year big celebration janam ashtami governor amolak rattan kohli
huge palace royal family staying conducting public affairs govt college shifted medical college temporary housing governor amolak rattan kohli
houses fine colection miniature paintings kangra basholi chamba pahari schools
central park chamba valley huge chunk land open play walk enjoy cold weather green grass shines sun comes view park beautiful
visited place dalhousie thapril dam half hour drive dalhousie picturesque hydroelectric project river ravi beautiful chamera lake dam enjoyed boating tasty simple lunch
excellent view valley surroundings temple stands good location surrounded greenary
idol inscription marvellous creation goddess shakti devi believe place kilometre chamba way bharmour governor amolak rattan kohli
champahati young princess raja chamba sacrificed avert death citizens shortage water grieved raja built temple water came immediately considered devi worshipped
lucky close pass plent snow thrilling drive wonderful experience realised tha winter enjoyable governor amolak rattan kohli
place learn yoga location peaceful situated place called julakhri good location near river ravi
crossing sach pass reach kilar su divisional head quarter pangi hudan valley beautiful area chamba small village people staying governor amolak rattan kohli
dedicated gauri parvati bhagwan shankar place important destination devotees tourists regular celebrations organised navratras occasions governor amolak rattan kohli
normal temple feet long lord shiva idol temple construction
location heart chamba city gang thieves came steal lord statue went blind immediately left place powerful diety temple visit feel peace witihn inside man ki shanti milege
built near chougan nineteenth century moorti lord vishnu masterpiece metal craft visit place governor amolak rattan kohli
experience pathetic wildlife seen inside sanctuary monkeys spent hour traversing inside sanctuary good experience good inside forest guest house food joints
nice calm feel peace wind u different world lot peace u good place visit
went kajji nag temple khajjiar famous kajji nag temple close proximity famous khajjiar lake temple stands decked golden dome spire known golden devi temple
really nice calm beautiful place spent quality time far sort pollution children definitely like place lot space roam fun reasonable terms
nice temple diferent gods shapes forms old place people visit atleast
mani mahesh easy destination particularly intention enjoy place driven religious fervor trek starts hadsar remote village bharmour trek km takes day
mountain passage pass kalatop dalhousie main market look peer panjal mountain range depending weather nice hotels like amod
khajiar attraction best viewed pwd rest house himachal government huge devdar trees mingled associated panch pandvas draupadi governor amolak rattan kohli
excellent views chamba town temple visiting place opinion enjoyable day best friends
bharmour sanctuary drive inside forest road permission local divisional forest office thrilling experience lot wild animals governor amolak rattan kohli
temple durga symbolises unbreakable strength mata twice year navratras big celebrations devotees pray strength governor amolak rattan kohli",4,"Chamba is a town in the Chamba district in the Indian state of Himachal Pradesh. According to the 2001 Indian census, Chamba has a population of 20,312 people. Located at an altitude of 1,006 metres (3,301 ft) above mean sea level, the town is situated on the banks of the Ravi River (a major tributary of the Trans-Himalayan Indus River), at its confluence with the Sal River. Though historical records date the history of the Chamba region to the Kolian tribes in the 2nd century BC, the area was formally ruled by the Maru dynasty, starting with the Raju Maru from around 500 AD, ruling from the ancient capital of Bharmour, which is located 65 kilometres (40 mi) from the town of Chamba.[1] In 920, Raja Sahil Varman (or Raja Sahil Verman) shifted the capital of the kingdom to Chamba, following the specific request of his daughter Champavati [2] (Chamba was named after her). From the time of Raju Maru, 67 Rajas of this dynasty ruled over Chamba until it finally merged with the Indian Union in April 1948, although Chamba was under British suzerainty from 1846 to this time",North,Himachal Pradesh,
Chamoli,"adi badri famous panch badri uttarakhand group sixteen temples belonging gupta period narayan temple black stone idol vishnu feet high enshrined place
dinesh wife visited auli nd week feb week course skiing beginners say fantastic experience took little longer time reach auli road condition
kedarnath badrinath lies road passes kund ukhimath chopta mandal gopeshwar chamoli road head mandal trek km uphill temple anusuya devi plenty places stay
setting glacial lake surrounded seven mountain peaks adorned nishan sahib cliff
highest gurudwara sikhs located height feet reachable arduous walk horse ride govindghat gurudwara shores hemkund lake langar continuously serving tea maggi
beautiful view make sure start early possible reach noon climb difficult opt horses descend comparatively tiring carry rain wear warm clothes
lord shankar meditating mount kailash mesmerized sweet sound flute played lord krishna vrindavan samadhi disturbed lord shankar left abode left vraj vrindavan parvatiji tried dissuade going
hand experiences really help travellers thanks brilliance place unmatched serene gurudwara fresh water spring amid mountains clouds
jyotirmath known joshimath city municipal board chamoli district indian state uttarakhand located height feet gateway himalayan mountain climbing expeditions trekking trails pilgrim centres like
roopkund according hindu mythology goddess parvati lord shiva heading kailash annihilating demons goddess wanted clean shiva created kund lake help trishul consort
kedarnath wild life sanctuary called kedarnath musk deer sanctuary wildlife sanctuary declared wildlife protection act located uttarakhand india alternate comes primary purpose protecting endangered himalayan musk deer consisting area
trek really beautiful tough toilet semi paved path steep climb long long way prepared wrongly told short distance short light
odyssey garhwal himalaya takes away agony strenuous walk brings forth fairy world kagbhusandi lake trek garhwal himalayan region pick located elevation meters approximately kagbhusandi lake
sri badrinath abode lord vishnu situated middle pristine nature dharshan feel power super soul wander wilderness feel unpolluted mother nature",3.571428571,"Chamoli district is a district of the Uttarakhand state of India.[4] It is bounded by the Tibet region to the north, and by the Uttarakhand districts of Pithoragarh and Bageshwar to the east, Almora to the south, Pauri Garhwal to the southwest, Rudraprayag to the west, and Uttarkashi to the northwest. The administrative headquarters of Chamoli district is in Gopeshwar. Chamoli hosts a variety of destinations of pilgrim and tourist interest including Badrinath, Hemkund Sahib and Valley of Flowers. Chipko movement was first started in Chamoli.",North,Uttarakhand,
Champaner,"town doubt road vadodora fantastic hours drive ks city walls mosques superb need simply beautiful
inclusion hindu jain motifs carvings islamic structure says lot secular harmony existed years ago
shops chappal robbers donkeys monkeys way say maa kaali accept jain temple far better
pavagadh fort situated pavagadh hill intact strong built hundreds year
final mosque visited champener nangina mosque situated far kevda mosque near edge archaeological site quite small art lovers repaid mosque
masjid champaner unesco site popular attraction compared nagina kevda jami masjid similar intricate carvings arches minarets display fine craftsmanship era
nice getaway busy city baroda beautiful views hill pavagadh definitely worth stop
beautiful architecture ignorance abode wild monkeys pay visit fee area clean monkey free enter monument monkeys
tomb located entry champaner archaeological unesco site visited way vadodara finishing champaner pavagadh itinerary sikander shah buried ruler champaner tomb stone",4.333333333,"Champaner is a historical city in the state of Gujarat, in western India. It is located in Panchmahal district, 47 kilometres from the city of Vadodara. The city was briefly the capital of the Sultanate of Gujarat.At an early period Chámpáner was the seat of a Bhil dynasty.[1] Champaner was founded by King Champa Bhil.",West,Gujarat,
